job_id,company,role,source,fit_score,discipline_flag,status,date_found,apply_link
6aa418f08420,garden3d,Head of Design,weworkremotely,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); location unclear,found,2026-07-18,https://weworkremotely.com/remote-jobs/garden3d-head-of-design
f5f77506fccd,garden3d,Head of Marketing & Communications,remotive,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); location unclear,found,2026-07-18,https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068
87202bc4e318,STATLINX,Patient Care Specialist,remotive,3,not a physical-design role; remote — confirm India-eligible,found,2026-07-19,https://remotive.com/remote-jobs/medical/patient-care-specialist-2091069
4f2702be5c87,Diversified,"Design Engineer 2 - Specialist- Virtual, US",weworkremotely,5,requires software you don't list: autocad; remote — confirm India-eligible,packet-ready,2026-07-22,https://weworkremotely.com/remote-jobs/diversified-design-engineer-2-specialist-virtual-us
25bf1d0d0847,Analog Devices,Senior Design Verification Engineer,weworkremotely,3,not a physical-design role; location unclear,found,2026-07-22,https://weworkremotely.com/remote-jobs/analog-devices-senior-design-verification-engineer
de69d9102bb0,Studyflix,"Praktikum Grafik, Design & Medienkommunikation (m/w/d)",weworkremotely,2,not a physical-design role; remote — confirm India-eligible,found,2026-07-22,https://weworkremotely.com/remote-jobs/studyflix-praktikum-grafik-design-medienkommunikation-m-w-d
8cba4125df8c,Iron Mountain,EMEA Design Manager,weworkremotely,2,stretch (senior/3+ yr); location unclear,found,2026-07-22,https://weworkremotely.com/remote-jobs/iron-mountain-emea-design-manager
4a9de0b5e449,Design Develop Now,Digital Project Manager,weworkremotely,2,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-22,https://weworkremotely.com/remote-jobs/design-develop-now-digital-project-manager
d4dd8f84a0f5,Twilio,Lead Product Designer,weworkremotely,6,stretch (senior/3+ yr); remote — confirm India-eligible,packet-ready,2026-07-23,https://weworkremotely.com/remote-jobs/twilio-lead-product-designer
376108551665,Dropbox,Principal Product Designer,weworkremotely,6,design-adjacent AI; stretch (senior/3+ yr); remote — confirm India-eligible,packet-ready,2026-07-23,https://weworkremotely.com/remote-jobs/dropbox-principal-product-designer-1
6e54ddfe52c2,Dropbox,Principal Product Designer,weworkremotely,6,design-adjacent AI; stretch (senior/3+ yr); remote — confirm India-eligible,packet-ready,2026-07-23,https://weworkremotely.com/remote-jobs/dropbox-principal-product-designer
